global_step,episode_reward,episode_reward_mean_smooth,,t
4.00E+02,101.85,101.85,,17.852309
8.00E+02,117.575,109.7125,,18.449692
1.20E+03,130.625,124.1,,18.867807
1.60E+03,117.05,123.8375,,19.134708
2.00E+03,132.525,124.7875,,19.40846
2.40E+03,120.575,126.55,,19.659228
2.80E+03,139.375,129.975,,19.920918
3.20E+03,139,139.1875,,20.206197
3.60E+03,140.8,139.9,,20.480541
4.00E+03,167.725,154.2625,,20.768661
4.40E+03,193.375,180.55,,21.109108
4.80E+03,118.875,156.125,,21.348219
5.20E+03,154.725,136.8,,21.633365
5.60E+03,138.75,146.7375,,21.875506
6.00E+03,161.65,150.2,,22.156759
6.40E+03,165.625,163.6375,,22.425905
6.80E+03,160.45,163.0375,,22.69436
7.20E+03,166.2,163.325,,22.969732
7.60E+03,182.8,174.5,,23.257015
8.00E+03,176.525,179.6625,,23.550958
8.40E+03,163.45,169.9875,,23.853214
8.80E+03,161.75,162.6,,24.15467
9.20E+03,174.65,168.2,,24.451565
9.60E+03,163.5,169.075,,24.731165
1.00E+04,144.6,154.05,,24.992371
1.04E+04,163.4,154,,25.271993
1.08E+04,163,163.2,,25.562704
1.12E+04,160.1,161.55,,25.816151
1.16E+04,177.55,168.825,,26.121608
1.20E+04,169.1,173.325,,26.396552
1.24E+04,167.5,168.3,,26.674505
1.28E+04,156.1,161.8,,26.939119
1.32E+04,169.9,163,,27.220965
1.36E+04,172.3,171.1,,27.496409
1.40E+04,161.6,166.95,,27.76554
1.44E+04,163.2,162.4,,28.047515
1.48E+04,134.3,148.75,,28.292495
1.52E+04,145.3,139.8,,28.552364
1.56E+04,146.4,145.85,,28.79674
1.60E+04,173.3,159.85,,29.084926
1.64E+04,161.725,167.5125,,29.371491
1.68E+04,185.1,173.4125,,29.666144
1.72E+04,176.15,180.625,,29.954439
1.76E+04,175.3,175.725,,30.246042
1.80E+04,148.3,161.8,,30.511788
1.84E+04,136.3,142.3,,30.766042
1.88E+04,165.7,151,,31.046257
1.92E+04,173.3,169.5,,31.347113
1.96E+04,180.4,176.85,,31.666348
2.00E+04,170.4,175.4,,31.939527
2.04E+04,173.1,171.75,,32.240982
2.08E+04,149.5,161.3,,32.503436
2.12E+04,160.6,155.05,,32.770385
2.16E+04,154.6,157.6,,33.035827
2.20E+04,153.3,153.95,,33.313429
2.24E+04,150.3,151.8,,33.563476
2.28E+04,167.9,159.1,,33.852209
2.32E+04,171.2,169.55,,34.127223
2.36E+04,142.6,156.9,,34.383515
2.40E+04,174.6,158.6,,34.664795
2.44E+04,165.9,170.25,,34.964669
2.48E+04,169.5,167.7,,35.23738
2.52E+04,151.3,160.4,,35.482955
2.56E+04,163.4,157.35,,35.77394
2.60E+04,159.3,161.35,,36.078688
2.64E+04,164,161.65,,36.355535
2.68E+04,161.1,162.55,,36.626958
2.72E+04,150.4,155.75,,36.88967
2.76E+04,163,156.7,,37.183443
2.80E+04,145.3,154.15,,37.454465
2.84E+04,166.7,156,,37.755758
2.88E+04,160.1,163.4,,38.031997
2.92E+04,162.6,161.35,,38.319335
2.96E+04,180,171.3,,38.617684
3.00E+04,181.3,180.65,,38.922652
3.04E+04,170.2,175.75,,39.204311
3.08E+04,159,164.6,,39.509923
3.12E+04,156.8,157.9,,39.782197
3.16E+04,141.7,149.25,,40.023373
3.20E+04,172.8,157.25,,40.347914
3.24E+04,170.6,171.7,,40.667644
3.28E+04,142.7,156.65,,40.911167
3.32E+04,177,159.85,,41.18971
3.36E+04,162,169.5,,41.470864
3.40E+04,152.5,157.25,,41.748864
3.44E+04,155.2,153.85,,42.012506
3.48E+04,159.8,157.5,,42.283446
3.52E+04,183.2,171.5,,42.583345
3.56E+04,154.6,168.9,,42.849037
3.60E+04,170.8,162.7,,43.133383
3.64E+04,160.3,165.55,,43.419725
3.68E+04,150.2,155.25,,43.688393
3.72E+04,164.8,157.5,,43.96497
3.76E+04,168.6,166.7,,44.238592
3.80E+04,158.8,163.7,,44.522161
3.84E+04,184.7,171.75,,44.814646
3.88E+04,167.7,176.2,,45.102708
3.92E+04,183.1,175.4,,45.394526
3.96E+04,163.9,173.5,,45.668812
4.00E+04,177.5,170.7,,45.951705
4.04E+04,164.2,170.85,,46.244159
4.08E+04,148.3,156.25,,46.509899
4.12E+04,140.2,144.25,,46.744837
4.16E+04,158.4,149.3,,46.999881
4.20E+04,155.2,156.8,,47.260457
