#{"t_start": 1660484205.0263975, "env_id": null}
r,l,t
138.6,100,8.050509
116.18,100,8.794767
107.16,100,9.469154
117.36,100,9.927072
113.24,100,10.3486
111.04,100,10.771084
119.78,100,11.220844
131.18,100,11.644433
114.34,100,12.069108
112.22,100,12.485064
120.7,100,12.925168
128.96,100,13.341835
118.96,100,13.748478
103.22,100,14.157009
112.62,100,14.558341
127.34,100,14.963583
124.54,100,15.378352
107.22,100,15.769484
108.6,100,16.185085
119.22,100,16.595041
115.3,100,17.028726
118.76,100,17.439573
121.24,100,17.855275
131.18,100,18.73836
99.08,100,19.231253
111.54,100,19.642763
122.36,100,20.094299
128.42,100,20.481802
131.9,100,20.876657
109.9,100,21.265041
116.5,100,21.689066
123.72,100,22.111192
108.66,100,22.495852
126.32,100,22.869969
114.12,100,23.273705
139.36,100,23.631849
130.04,100,24.037539
123.66,100,24.41549
116.04,100,24.806164
119.58,100,25.181649
122.88,100,25.575895
122.16,100,25.957325
123.54,100,26.340211
121.56,100,26.701703
122.4,100,27.105615
123.56,100,27.464842
119.2,100,27.842602
119.94,100,28.221725
131.46,100,28.622572
133.92,100,29.028986
128.04,100,29.461744
104.88,100,29.883583
106.76,100,30.338142
123.12,100,30.74368
123.8,100,31.187069
114.7,100,31.623237
126.7,100,32.072117
129.18,100,32.489711
130.74,100,32.899562
126.3,100,33.323814
109.58,100,33.741037
116.42,100,34.176171
119.16,100,34.595091
121.64,100,35.014785
127.84,100,35.439491
125.16,100,35.848891
131.46,100,36.299373
113.46,100,36.701411
124.84,100,37.14002
125.36,100,37.546579
125.88,100,37.988298
125.82,100,38.435428
126.54,100,38.852973
127.96,100,39.292608
126.0,100,39.702544
126.84,100,40.12653
117.28,100,40.56344
115.94,100,41.000361
135.14,100,41.440935
128.54,100,41.856006
118.38,100,42.322321
130.58,100,42.722485
105.56,100,43.150539
132.12,100,43.602682
118.82,100,44.219522
119.38,100,44.831046
122.34,100,45.478306
116.9,100,45.965404
113.28,100,46.404659
125.68,100,46.794756
108.7,100,47.21242
121.04,100,47.59976
125.04,100,48.030382
126.48,100,48.426226
127.78,100,48.803239
120.26,100,49.181463
140.22,100,49.56989
127.0,100,49.948814
107.3,100,50.336638
106.86,100,50.72726
128.76,100,51.189589
129.36,100,60.679937
130.8,100,61.128347
131.8,100,61.552292
130.34,100,61.951644
113.62,100,62.376835
105.56,100,62.787526
124.4,100,63.19476
121.2,100,63.580887
118.56,100,63.96289
107.98,100,64.341921
112.1,100,64.764762
135.94,100,65.163894
124.48,100,65.554281
125.16,100,65.973013
119.8,100,66.389184
110.6,100,66.795678
128.0,100,67.207835
117.36,100,67.604036
131.86,100,68.024438
120.08,100,68.420066
122.48,100,68.849287
131.6,100,69.257183
122.18,100,69.656908
129.02,100,70.074177
119.04,100,70.488177
121.94,100,70.9213
123.08,100,71.362826
134.1,100,71.790029
114.22,100,72.227579
116.52,100,72.63309
124.08,100,73.079639
134.68,100,73.48464
130.84,100,73.915188
129.14,100,74.309772
122.36,100,74.707998
132.68,100,75.102929
122.56,100,75.482487
137.48,100,75.902903
136.78,100,76.314791
123.8,100,76.717091
119.42,100,77.168883
123.86,100,77.564518
114.9,100,77.99627
126.9,100,78.40252
129.68,100,78.815926
142.44,100,79.223116
114.22,100,79.627538
118.16,100,80.039589
118.0,100,80.453119
122.0,100,80.818227
124.44,100,81.226566
110.46,100,81.645949
112.16,100,82.087372
141.88,100,82.463618
120.5,100,82.843325
111.48,100,83.226629
119.18,100,83.605748
112.26,100,83.980476
109.72,100,84.377513
115.02,100,84.768946
124.28,100,85.17112
128.24,100,85.537279
119.68,100,85.908504
131.64,100,86.286831
101.16,100,86.677392
116.86,100,87.049405
130.86,100,87.415197
116.2,100,87.774135
128.28,100,88.166538
126.72,100,88.552528
130.8,100,88.973544
119.66,100,89.390291
121.46,100,89.809249
116.26,100,90.220315
122.46,100,90.610616
116.52,100,91.053309
112.56,100,91.488626
113.24,100,91.932353
122.24,100,92.373211
119.64,100,92.762888
131.96,100,93.190555
113.54,100,93.583373
130.42,100,94.00643
132.76,100,94.411102
129.02,100,94.821946
125.24,100,95.2356
123.48,100,95.618723
116.84,100,96.019723
125.86,100,96.449359
123.32,100,96.842585
110.26,100,97.257988
130.44,100,97.664627
131.16,100,98.078652
120.82,100,98.480397
120.44,100,98.884539
109.02,100,99.299966
126.54,100,99.720213
124.1,100,100.130564
127.84,100,100.536017
141.46,100,100.961891
110.68,100,101.42659
112.22,100,101.846732
114.98,100,102.273542
108.42,100,102.677772
119.4,100,103.08342
117.08,100,103.482389
117.84,100,103.866929
118.18,100,104.273176
115.62,100,104.683137
124.34,100,105.090297
117.64,100,105.479364
125.86,100,105.849904
114.16,100,106.250429
125.48,100,106.629477
113.0,100,107.00911
99.26,100,107.370911
123.0,100,107.742311
113.74,100,108.110634
130.38,100,108.476327
128.84,100,108.837721
140.52,100,109.223232
125.8,100,109.590352
133.94,100,109.959408
107.98,100,110.31538
129.72,100,110.68783
112.7,100,111.055007
119.8,100,111.435269
111.96,100,111.823897
114.66,100,112.233758
122.1,100,112.597489
120.68,100,112.97958
139.82,100,113.335202
118.96,100,113.70541
132.14,100,114.080959
130.8,100,114.442786
117.64,100,114.818457
117.5,100,115.202156
126.14,100,115.557886
123.48,100,115.924965
