 PR,,,Average, latency,traffic,carbon,,LRU latency,traffic,carbon,,NAZ latency,traffic,carbon
latency,traffic,carbon,PR,7.21E-02,3.04E-02,1.52E-01,,7.20E-01,1.00E-01,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,0.0721,0.0304,0.152,,3.60E-01,1.00E-01,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,LRU,2.92E-01,1.45E-01,7.10E-01,,0.00E+00,1.00E-01,5.00E-01,,7.20E-01,3.00E-01,0.00E+00
7.20E-01,3.00E-01,1.50E+00,,0.292,0.145,0.71,,7.20E-01,0.00E+00,1.50E+00,,7.20E-01,0.00E+00,1.50E+00
7.20E-01,1.00E-01,1.50E+00,NAZ,1.24E-01,5.38E-02,2.76E-01,,0.00E+00,1.00E-01,1.00E+00,,7.20E-01,3.00E-01,0.00E+00
7.20E-01,3.00E-01,1.50E+00,,0.124,0.0538,0.276,,7.20E-01,0.00E+00,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,0.00E+00,1.00E-01,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,NC,LRU,NAZ,PR,1.80E-01,3.00E-01,1.50E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,0.00E+00,Latency,1.125,0.292,0.124,0.0721,0.00E+00,1.00E-01,5.00E-01,,0.00E+00,3.00E-01,1.50E+00
0.00E+00,0.00E+00,5.00E-01,Traffic,0.5,0.145,0.0538,0.0304,1.80E-01,1.00E-01,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
0.00E+00,3.00E-01,1.50E+00,Carbon,2,0.71,0.276,0.152,7.20E-01,1.00E-01,0.00E+00,,0.00E+00,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,Freshness,0,0.9,0.7,0.74,1.80E-01,3.00E-01,1.00E+00,,0.00E+00,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,7.20E-01,2.00E-01,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
0.00E+00,3.00E-01,1.50E+00,,,,,,3.60E-01,0.00E+00,0.00E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,3.60E-01,1.00E-01,1.50E+00,,7.20E-01,0.00E+00,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,1.80E-01,2.00E-01,5.00E-01,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,3.60E-01,2.00E-01,5.00E-01,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,1.80E-01,3.00E-01,5.00E-01,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,1.80E-01,2.00E-01,1.50E+00,,7.20E-01,3.00E-01,0.00E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,0.00E+00,0.00E+00,5.00E-01,,7.20E-01,3.00E-01,0.00E+00
0.00E+00,3.00E-01,1.50E+00,,,,,,1.80E-01,3.00E-01,0.00E+00,,0.00E+00,3.00E-01,0.00E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,1.80E-01,0.00E+00,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,7.20E-01,1.00E-01,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,0.00E+00,,,,,,0.00E+00,1.00E-01,5.00E-01,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,0.00E+00,,,,,,3.60E-01,3.00E-01,1.50E+00,,7.20E-01,3.00E-01,0.00E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,0.00E+00,3.00E-01,0.00E+00,,0.00E+00,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,1.80E-01,1.00E-01,1.00E+00,,0.00E+00,0.00E+00,1.50E+00
7.20E-01,0.00E+00,1.50E+00,,,,,,0.00E+00,1.00E-01,0.00E+00,,0.00E+00,3.00E-01,1.50E+00
0.00E+00,3.00E-01,1.50E+00,,,,,,0.00E+00,2.00E-01,5.00E-01,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.00E+00,,,,,,0.00E+00,3.00E-01,5.00E-01,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,3.60E-01,3.00E-01,1.50E+00,,7.20E-01,0.00E+00,1.50E+00
7.20E-01,3.00E-01,0.00E+00,,,,,,3.60E-01,1.00E-01,5.00E-01,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,1.80E-01,3.00E-01,5.00E-01,,7.20E-01,3.00E-01,1.50E+00
0.00E+00,3.00E-01,1.50E+00,,,,,,0.00E+00,3.00E-01,1.50E+00,,7.20E-01,0.00E+00,0.00E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,1.80E-01,0.00E+00,0.00E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.00E+00,,,,,,0.00E+00,0.00E+00,1.00E+00,,7.20E-01,3.00E-01,0.00E+00
7.20E-01,0.00E+00,0.00E+00,,,,,,1.80E-01,1.00E-01,1.50E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,7.20E-01,1.00E-01,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,3.60E-01,0.00E+00,1.00E+00,,7.20E-01,0.00E+00,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,1.80E-01,2.00E-01,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
0.00E+00,3.00E-01,1.50E+00,,,,,,0.00E+00,0.00E+00,5.00E-01,,7.20E-01,3.00E-01,0.00E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,0.00E+00,0.00E+00,1.50E+00,,7.20E-01,3.00E-01,1.50E+00
0.00E+00,3.00E-01,0.00E+00,,,,,,3.60E-01,2.00E-01,1.50E+00,,7.20E-01,0.00E+00,1.50E+00
7.20E-01,0.00E+00,1.50E+00,,,,,,3.60E-01,0.00E+00,1.50E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,0.00E+00,1.50E+00,,,,,,0.00E+00,1.00E-01,0.00E+00,,0.00E+00,3.00E-01,1.50E+00
7.20E-01,0.00E+00,0.00E+00,,,,,,0.00E+00,0.00E+00,1.50E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,1.80E-01,1.00E-01,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,0.00E+00,1.00E-01,1.00E+00,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,1.50E+00,,,,,,3.60E-01,0.00E+00,1.50E+00,,7.20E-01,3.00E-01,1.50E+00
0.00E+00,3.00E-01,0.00E+00,,,,,,3.60E-01,0.00E+00,0.00E+00,,7.20E-01,0.00E+00,0.00E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,3.60E-01,1.00E-01,5.00E-01,,0.00E+00,0.00E+00,0.00E+00
7.20E-01,0.00E+00,1.50E+00,,,,,,7.20E-01,3.00E-01,1.00E+00,,7.20E-01,3.00E-01,0.00E+00
1.80E-01,3.00E-01,5.00E-01,,,,,,1.80E-01,0.00E+00,1.50E+00,,7.20E-01,3.00E-01,1.50E+00
0.00E+00,0.00E+00,0.00E+00,,,,,,7.20E-01,2.00E-01,5.00E-01,,7.20E-01,3.00E-01,1.50E+00
7.20E-01,3.00E-01,0.00E+00,,,,,,7.20E-01,3.00E-01,1.00E+00,,0.00E+00,3.00E-01,0.00E+00
