#{"t_start": 1660491269.2045865, "env_id": null}
r,l,t
148.52,100,1.567325
228.16,100,1.935683
256.88,100,2.313842
265.44,100,2.680977
273.0,100,3.049743
276.0,100,3.437724
271.0,100,3.81304
274.0,100,4.18078
271.0,100,4.565147
274.0,100,4.942074
271.0,100,5.335012
271.0,100,5.703757
275.0,100,6.079794
273.0,100,6.461144
272.0,100,6.829042
272.0,100,7.191349
269.0,100,7.566182
273.0,100,7.934868
272.0,100,8.313737
273.0,100,8.680703
276.0,100,9.074007
273.0,100,9.451376
275.0,100,9.822904
275.0,100,10.203318
273.0,100,10.600562
272.0,100,10.96999
274.0,100,11.3477
278.0,100,11.729049
272.0,100,12.111692
277.0,100,12.493992
272.0,100,12.884522
271.0,100,13.266317
276.0,100,13.661669
272.0,100,14.03698
271.0,100,14.428296
275.0,100,14.800313
272.0,100,15.204598
268.0,100,15.60358
273.0,100,15.984482
276.0,100,16.373972
271.0,100,16.79308
273.0,100,17.181179
270.0,100,17.57875
273.0,100,17.972282
270.0,100,18.381269
274.0,100,18.776509
273.0,100,19.157391
271.0,100,19.548711
274.0,100,19.948203
272.0,100,20.331222
271.0,100,20.746454
278.0,100,21.159242
273.0,100,21.562303
275.0,100,21.945087
272.0,100,22.345915
272.0,100,22.747955
272.0,100,23.147488
272.0,100,23.546481
277.0,100,23.950901
271.0,100,24.347126
271.0,100,24.778784
275.0,100,25.171951
276.0,100,25.587606
274.0,100,26.008306
272.0,100,26.413023
275.0,100,26.825925
269.0,100,27.251739
272.0,100,27.660779
273.0,100,28.071253
269.0,100,28.471815
275.0,100,28.90916
274.0,100,29.321249
271.0,100,29.739228
273.0,100,30.143085
274.0,100,30.549387
271.0,100,30.960661
271.0,100,31.384799
272.0,100,31.812085
269.0,100,32.240917
271.0,100,32.66167
274.0,100,33.112544
275.0,100,33.543906
274.0,100,33.965424
270.0,100,34.386887
275.0,100,34.819554
274.0,100,35.23417
269.0,100,35.656936
274.0,100,36.090125
273.0,100,36.527706
274.0,100,36.963934
271.0,100,37.399044
276.0,100,37.815612
274.0,100,38.258581
272.0,100,38.6806
272.0,100,39.110008
275.0,100,39.53159
273.0,100,39.973816
269.0,100,40.442086
271.0,100,40.891128
272.0,100,41.349786
277.0,100,41.81267
274.0,100,42.265151
271.0,100,42.703211
271.0,100,43.150868
275.0,100,43.612133
273.0,100,44.067003
271.0,100,44.506277
273.0,100,44.949605
276.0,100,45.409541
272.0,100,45.84756
270.0,100,46.333973
272.0,100,46.780496
274.0,100,47.257529
274.0,100,47.703918
274.0,100,48.153173
271.0,100,48.596959
273.0,100,49.063426
273.0,100,49.523642
271.0,100,49.977705
274.0,100,50.445799
272.0,100,50.918972
273.0,100,51.379305
273.0,100,51.830938
273.0,100,52.303023
271.0,100,52.771286
278.0,100,53.236016
272.0,100,53.695891
271.0,100,54.164906
267.0,100,54.628436
277.0,100,55.088045
278.0,100,55.559654
272.0,100,56.025792
269.0,100,56.523687
273.0,100,56.986463
276.0,100,57.46416
274.0,100,57.925912
271.0,100,58.418629
271.0,100,58.887758
272.0,100,59.379001
276.0,100,59.83695
275.0,100,60.332448
275.0,100,60.804446
272.0,100,61.279766
275.0,100,61.744652
273.0,100,62.224278
273.0,100,62.70636
273.0,100,63.188009
277.0,100,63.67195
276.0,100,64.162523
276.0,100,64.647452
278.0,100,65.14322
271.0,100,65.629803
272.0,100,66.117938
275.0,100,66.62594
272.0,100,67.109591
274.0,100,67.593881
