,0
0,0.9
1,0.6
2,0.6
3,0.9
4,0.6
5,0.3
6,1.2
7,0.3
8,0
9,0
10,0.6
11,0.6
12,0.3
13,0.6
14,0.3
15,0.3
16,0.3
17,0.3
18,0.6
19,0.9
20,0.3
21,0.6
22,0.3
23,0.6
24,0.3
25,0.6
26,0.9
27,0.9
28,0.3
29,0.9
30,0
31,0.9
32,0
33,0.6
34,1.2
35,0.3
36,0
37,0
38,0
39,0.9
40,0.3
41,0.9
42,0.9
43,0.6
44,0.3
45,0
46,0.3
47,0.9
48,0.6
49,0.9
50,0.6
51,0
52,0.6
53,0.6
54,1.2
55,0.9
56,1.2
57,0.3
58,0.6
59,0.3
60,0.3
61,0.3
62,0.9
63,0.3
64,0.6
65,0.6
66,0.6
67,0.6
68,0.9
69,1.2
70,0
71,0
72,0.6
73,0.3
74,0.6
75,0.9
76,0.6
77,0.6
78,0.6
79,0.6
80,0
81,0.3
82,0.3
83,0.9
84,0.6
85,0.9
86,0.3
87,0.9
88,0.6
89,0.3
90,0.9
91,0.6
92,0.6
93,0.6
94,1.2
95,0.6
96,0.3
97,0.9
98,0.3
99,0.9
100,1.2
101,1.2
102,0
103,0.3
104,0.6
105,0.3
106,0.3
107,0.3
108,1.2
109,0.6
110,0.6
111,0.3
112,0
113,0.6
114,0.3
115,0.3
116,0.6
117,0
118,0.3
119,0
120,0.3
121,0
122,0.3
123,0
124,0
125,1.2
126,0.9
127,0.6
128,0
129,0.9
130,0.9
131,0.6
132,0.6
133,0
134,0.9
135,1.2
136,0.6
137,0
138,0.3
139,0.3
140,0.6
141,0.3
142,0.3
143,0
144,0.6
145,0.9
146,0.6
147,0
148,0.3
149,0
150,1.2
151,0.3
152,0
153,0.9
154,0.3
155,0
156,0.3
157,0.3
158,0.9
159,0.6
160,0.6
161,0.6
162,0.9
163,0.9
164,0.9
165,0.3
166,0.9
167,0.6
168,0.9
169,0
170,0.6
171,0
172,1.2
173,0.9
174,0.3
175,0
176,0.3
177,0.6
178,0.3
179,0.6
180,0.9
181,0
182,0.9
183,0.9
184,0
185,0.6
186,0.9
187,0.9
188,0.3
189,0.6
190,0.3
191,0.9
192,0.3
193,0.6
194,0
195,0.3
196,0.6
197,0.3
198,0
199,0
200,0.3
201,0.9
202,0
203,0
204,0.3
205,0.3
206,0.9
207,0.9
208,0.9
209,0.3
210,1.2
211,0.3
212,0
213,1.2
214,1.2
215,1.2
216,0.6
217,0.9
218,0.9
219,0.9
220,0.9
221,0.6
222,0.3
223,0
224,0.9
225,0
226,0
227,0.3
228,0.3
229,0
230,0.3
231,0.3
232,0.3
233,0.9
234,0.3
235,0.9
236,1.2
237,0.9
238,0.9
239,0.9
240,0.6
241,0.3
242,0.6
243,0.3
244,0
245,0.9
246,0.9
247,0
248,0.9
249,1.2
250,0.3
251,0.9
252,0.9
253,0.6
254,0.3
255,1.2
256,0.3
257,0.3
258,0.3
259,0
260,0.6
261,0.3
262,0.6
263,0.6
264,0.6
265,0.9
266,0
267,0.6
268,0.3
269,0.3
270,0.6
271,0
272,0.3
273,0.6
274,0.3
275,0.3
276,0.6
277,0.3
278,0.9
279,0.6
280,0.9
281,0.3
282,1.2
283,0
284,1.2
285,0
286,0.9
287,0.3
288,0.6
289,0
290,0.3
291,0.3
292,0
293,0.3
294,0
295,0.9
296,1.2
297,0.3
298,0.3
299,1.2
300,0.9
301,0.6
302,0.6
303,0.3
304,0.9
305,0.9
306,0
307,0.6
308,0.9
309,0.3
310,0
311,0.6
312,0
313,1.2
314,0.3
315,0.9
316,0
317,0.3
318,0.6
319,0.9
320,0
321,0.6
322,0
323,0.3
324,0.6
325,0
326,0.6
327,0.9
328,0.6
329,0
330,0
331,0.3
332,0.3
333,0.9
334,1.2
335,0.3
336,0.6
337,1.2
338,0.6
339,0
340,0.6
341,0.6
342,0.6
343,0.3
344,0
345,0.9
346,0.3
347,0
348,0
349,0.3
350,0.3
351,1.2
352,0.9
353,0.3
354,0.3
355,0.3
356,0
357,0.9
358,0.3
359,0.3
360,0.9
361,0
362,0.3
363,0.3
364,0.6
365,0
366,0.6
367,0.3
368,0.6
369,0.9
370,0.6
371,0.9
372,0
373,1.2
374,0.3
375,0.3
376,0.6
377,0.9
378,0.9
379,0
380,0.6
381,0.3
382,0
383,0
384,0.3
385,0.9
386,0.6
387,0.6
388,0.3
389,0
390,0.9
391,0.9
392,0.3
393,0.3
394,1.2
395,0.9
396,0
397,0.9
398,0.3
399,0
400,0.6
401,0.9
402,0.3
403,0
404,0.3
405,0.3
406,0.3
407,0.3
408,0.3
409,0.6
410,0.3
411,0
412,0.3
413,0.9
414,0.9
415,0.3
416,0.6
417,1.2
418,0.9
419,0.9
420,0.6
421,0.9
422,0.9
423,0
424,0.3
425,0.3
426,0.3
427,0.6
428,0.6
429,0.9
430,0.9
431,0.6
432,0
433,0.3
434,0
435,0
436,0.3
437,0
438,0.6
439,0.3
440,0.3
441,0.9
442,0.6
443,0.9
444,0.6
445,0.3
446,0.9
447,0.3
448,0.6
449,0.3
450,1.2
451,0.6
452,0
453,0.9
454,0.3
455,0.9
456,0
457,0.9
458,0.6
459,0
460,0.6
461,0
462,1.2
463,0.3
464,0.9
465,0
466,0.9
467,0.9
468,0.9
469,0.9
470,0.3
471,0
472,1.2
473,0
474,0.6
475,0.9
476,0.3
477,0
478,0.3
479,0.6
480,0
481,0.6
482,0
483,0.6
484,0.6
485,0.9
486,0.3
487,0.3
488,0.6
489,1.2
490,0.6
491,0.6
492,0.6
493,0.6
494,0.9
495,0.3
496,0.3
497,0
498,0.6
499,0.6
500,0
501,0.3
502,0.6
503,0.6
504,0.3
505,0.6
506,0
507,0.3
508,0.6
509,0.3
510,0
511,0.6
512,0.6
513,0.6
514,1.2
515,0.6
516,0
517,0
518,0.3
519,0.9
520,0.9
521,0.3
522,0.3
523,0.3
524,0
525,0.6
526,0.9
527,0.9
528,0.9
529,0.9
530,0.9
531,1.2
532,0.3
533,0.3
534,0.9
535,0.3
536,0.3
537,0.9
538,0.6
539,0.6
540,0.3
541,1.2
542,0.3
543,0.6
544,0
545,0
546,1.2
547,0.9
548,0.9
549,0.9
550,0.6
551,0.6
552,0.3
553,0
554,0.3
555,0
556,0.9
557,0.3
558,0.6
559,0.6
560,0.3
561,0.9
562,0.6
563,0.9
564,0.3
565,0.3
566,0.3
567,0.3
568,0.3
569,0
570,0
571,0.3
572,0
573,0.3
574,0.3
575,0.3
576,0.9
577,0.3
578,0.6
579,0.3
580,0.9
581,0.9
582,0.6
583,0.6
584,0.3
585,0.6
586,0.9
587,0
588,0.6
589,0
590,1.2
591,0.3
592,1.2
593,0.3
594,0
595,0.6
596,1.2
597,0.3
598,0.6
599,0.9
600,0
601,0
602,0.6
603,0
604,0
605,0
606,0.6
607,0
608,0
609,0.3
610,0
611,0.3
612,0.9
613,0
614,0.3
615,0.9
616,0.6
617,0.3
618,0.3
619,0
620,1.2
621,0
622,0.9
623,0.3
624,0.6
625,0.3
626,0.9
627,0.6
628,0.9
629,0.6
630,0.9
631,0
632,0
633,0.9
634,0
635,0.9
636,0.9
637,0
638,0
639,0.6
640,0.6
641,0.3
642,0.9
643,0.9
644,0
645,0.9
646,0.9
647,1.2
648,0.3
649,0.6
650,0.3
651,0.6
652,0.9
653,1.2
654,0.9
655,0.6
656,0
657,0.9
658,0.9
659,0
660,0.6
661,0.6
662,0.3
663,0.3
664,0.9
665,0.9
666,0.6
667,0.6
668,0
669,0
670,0
671,0.6
672,0.9
673,0.9
674,0.6
675,0.6
676,0.3
677,0.6
678,0
679,0
680,0.3
681,0.9
682,0
683,0.3
684,0.3
685,0.6
686,0.9
687,0.9
688,0
689,0.3
690,0.3
691,0.9
692,0.6
693,0
694,0.6
695,0.3
696,0
697,0.9
698,0.9
699,0
700,0.3
701,0.6
702,0.6
703,0.3
704,0.9
705,0
706,0.6
707,0.6
708,0
709,0.6
710,0.3
711,0.9
712,1.2
713,0
714,0
715,0.9
716,0.9
717,0.3
718,0
719,0.3
720,0
721,1.2
722,0.9
723,0.3
724,0.9
725,0
726,0
727,0.6
728,0.6
729,0
730,0.9
731,0.3
732,0.6
733,0
734,0
735,0
736,1.2
737,0.3
738,0.3
739,1.2
740,1.2
741,0.6
742,0.3
743,0.6
744,0.6
745,0
746,0
747,0.3
748,0.3
749,0
750,0.6
751,0.9
752,0.3
753,1.2
754,0.3
755,0.9
756,0
757,0
758,0
759,0.6
760,1.2
761,1.2
762,0.9
763,0.6
764,0.6
765,1.2
766,0
767,0.6
768,0.3
769,0
770,0.6
771,0.6
772,0.6
773,0.6
774,0.6
775,0.3
776,0.3
777,0.9
778,0.3
779,0.9
780,1.2
781,0.9
782,0.3
783,0
784,0
785,0.3
786,0
787,0.3
788,0.3
789,0.6
790,0
791,0.3
792,0.3
793,0.9
794,0.3
795,0.3
796,0.3
797,0.9
798,0.9
799,0.6
800,1.2
801,0.9
802,0.6
803,1.2
804,0.3
805,1.2
806,0.3
807,0.6
808,0.3
809,0.9
810,0.6
811,0.3
812,0
813,0.9
814,0.3
815,0
816,0.9
817,0.3
818,0
819,0.6
820,1.2
821,0
822,0.6
823,0.3
824,0.9
825,0.9
826,0.9
827,0.6
828,0.9
829,0.3
830,0.6
831,0.9
832,0
833,0.3
834,0
835,1.2
836,0.3
837,0.6
838,0.3
839,0
840,0.3
841,0.9
842,0
843,0.9
844,0.3
845,0.3
846,1.2
847,0.9
848,0.3
849,0.6
850,0.9
851,1.2
852,0.3
853,0
854,0.9
855,0.3
856,0.6
857,0
858,0.6
859,0.9
860,0.9
861,0.9
862,0.9
863,0.3
864,0.3
865,0.9
866,0.3
867,0.3
868,0.9
869,0.9
870,0.6
871,0.9
872,0
873,1.2
874,0.6
875,0.3
876,1.2
877,0.6
878,0.3
879,1.2
880,0.9
881,0.9
882,0.3
883,0.9
884,0.6
885,0.6
886,0.6
887,0.3
888,0
889,0.3
890,0
891,0
892,0.3
893,0.3
894,0.6
895,0.6
896,0.6
897,0.9
898,0.3
899,0
900,0.6
901,0.3
902,0.6
903,1.2
904,0.6
905,0.3
906,0.6
907,0.9
908,0.3
909,0.3
910,0
911,0.6
912,0.9
913,0.6
914,1.2
915,0.6
916,0.9
917,0.3
918,0.3
919,0.3
920,0
921,0.3
922,0
923,0.9
924,0
925,0.3
926,0.6
927,0.9
928,0.3
929,0.9
930,0.3
931,0.3
932,0.9
933,0.3
934,0.9
935,0.6
936,0
937,0.3
938,0.9
939,1.2
940,0.6
941,0.3
942,0.6
943,0
944,0
945,0.3
946,0
947,1.2
948,0.6
949,0.3
950,0.6
951,0.3
952,0.9
953,0.6
954,0.6
955,0.3
956,0.9
957,0.6
958,0.9
959,0.9
960,1.2
961,0
962,0
963,0
964,0.6
965,0
966,0.3
967,1.2
968,0.9
969,0.6
970,0.3
971,0.3
972,0.3
973,0.3
974,0.6
975,0.3
976,0.6
977,0
978,0
979,0.3
980,0
981,0.3
982,0.3
983,0.3
984,0
985,0.6
986,1.2
987,0.3
988,0.3
989,0.9
990,0.6
991,0.6
992,0.9
993,0.9
994,0.3
995,0.9
996,0.6
997,0.3
998,0.3
999,0.6
1000,0.6
1001,1.2
1002,0.6
1003,0.3
1004,0.6
1005,0
1006,0.6
1007,0.6
1008,0
1009,0.9
1010,1.2
1011,0
1012,0.9
1013,0.9
1014,0.9
1015,0.6
1016,0.9
1017,0.6
1018,0.9
1019,0.6
1020,0.3
1021,0.9
1022,0.6
1023,0
1024,1.2
1025,0
1026,0.3
1027,1.2
1028,0.6
1029,0
1030,1.2
1031,0.3
1032,0.9
1033,0.6
1034,0.3
1035,0.3
1036,0.6
1037,0.6
1038,0.3
1039,0.3
1040,0.9
1041,1.2
1042,0
1043,0.6
1044,0.3
1045,0.3
1046,0.6
1047,0.9
1048,0.9
1049,0.6
1050,0
1051,0.3
1052,0.9
1053,0.3
1054,0.9
1055,0.6
1056,0.9
1057,0.6
1058,0.3
1059,0.6
1060,0
1061,0.3
1062,0
1063,0
1064,0.3
1065,0.9
1066,0.3
1067,0.6
1068,0.3
1069,0.6
1070,0.6
1071,0.9
1072,0.6
1073,0
1074,0.6
1075,1.2
1076,0.3
1077,0.6
1078,0.3
1079,0.3
1080,0
1081,0.6
1082,0.9
1083,0.6
1084,0.9
1085,0.3
1086,0.9
1087,0.9
1088,0
1089,0
1090,0
1091,0.9
1092,0.3
1093,0.6
1094,0.3
1095,0
1096,0.3
1097,0.6
1098,0.9
1099,0.6
1100,0.3
1101,0.3
1102,0
1103,0.9
1104,0
1105,0.6
1106,0.3
1107,0.9
1108,0.3
1109,0.3
1110,0.3
1111,0.9
1112,0
1113,0.3
1114,0.9
1115,0
1116,0.6
1117,0.9
1118,0.6
1119,0
1120,0
1121,0.3
1122,0.9
1123,0.6
1124,0
1125,0
1126,1.2
1127,0.3
1128,0.6
1129,0.3
1130,0.9
1131,0.6
1132,0.3
1133,0.3
1134,0.3
1135,1.2
1136,0.3
1137,0.3
1138,0
1139,0.9
1140,0
1141,0
1142,0.3
1143,0
1144,0.9
1145,0.3
1146,0.3
1147,0.3
1148,0
1149,0.9
1150,0
1151,0.6
1152,0.9
1153,0.3
1154,0.3
1155,0
1156,0.3
1157,0.9
1158,0.3
1159,0.6
1160,0
1161,0.6
1162,1.2
1163,0.3
1164,0
1165,0.9
1166,0
1167,0.6
1168,0.6
1169,0
1170,0
1171,0.6
1172,0
1173,0.9
1174,0.3
1175,0.9
1176,0
1177,1.2
1178,1.2
1179,0.6
1180,0.6
1181,0.9
1182,0.6
1183,1.2
1184,0.3
1185,0.3
1186,0.6
1187,0.3
1188,0.6
1189,0.6
1190,0.6
1191,0.3
1192,0.9
1193,0.3
1194,0.9
1195,0.6
1196,0.6
1197,0.9
1198,0.6
1199,0.6
1200,0.3
1201,0.3
1202,0
1203,0.6
1204,0.6
1205,0.3
1206,0.3
1207,0.6
1208,0.6
1209,0
1210,0
1211,0
1212,0.6
1213,0.3
1214,0
1215,0.9
1216,0.3
1217,0.9
1218,0.3
1219,0
1220,1.2
1221,0.3
1222,0.9
1223,0
1224,0.3
1225,0.6
1226,0.3
1227,0.6
1228,0.9
1229,0
1230,0
1231,0.6
1232,0.3
1233,0.3
1234,0.3
1235,0
1236,0.6
1237,0.9
1238,0.6
1239,0.6
1240,0.6
1241,0.3
1242,0.6
1243,0.9
1244,0
1245,1.2
1246,0
1247,0.6
1248,0.3
1249,0
1250,0.3
1251,0.6
1252,0.3
1253,0.9
1254,0.6
1255,0.9
1256,0.6
1257,0
1258,0
1259,0
1260,0.6
1261,0
1262,0.9
1263,0
1264,0
1265,0.9
1266,0.9
1267,0.6
1268,0.3
1269,0.3
1270,0.9
1271,0.9
1272,0.6
1273,0.3
1274,0.9
1275,0.3
1276,0
1277,0.3
1278,0.3
1279,0.9
1280,1.2
1281,0.6
1282,0.9
1283,0.3
1284,0.9
1285,0.6
1286,0.3
1287,0.6
1288,1.2
1289,0.6
1290,0.3
1291,0.6
1292,0.3
1293,1.2
1294,0.3
1295,0.6
1296,0.6
1297,0.9
1298,0.9
1299,0
1300,0.9
1301,0.3
1302,0.3
1303,0.6
1304,0.3
1305,0.9
1306,0.9
1307,0.3
1308,0.9
1309,0.3
1310,0.9
1311,0
1312,0.6
1313,1.2
1314,0.3
1315,0
1316,0.6
1317,0.6
1318,0
1319,0.3
1320,0
1321,0.6
1322,0
1323,0.3
1324,1.2
1325,0.6
1326,0
1327,0.6
1328,0.3
1329,0.6
1330,0.3
1331,1.2
1332,0.3
1333,0.3
1334,0.9
1335,0.9
1336,0.9
1337,0.6
1338,0.6
1339,0.9
1340,0
1341,0
1342,0.3
1343,0.3
1344,0
1345,0.3
1346,0.6
1347,0.6
1348,0
1349,0.3
1350,1.2
1351,0.6
1352,0.9
1353,0.3
1354,0.9
1355,0.6
1356,0.3
1357,0.6
1358,0.9
1359,0.6
1360,0.9
1361,0.3
1362,0.9
1363,0.3
1364,0.3
1365,0.9
1366,0.9
1367,0.6
1368,0.3
1369,0.3
1370,0
1371,0.9
1372,0.3
1373,0.3
1374,0.6
1375,0.9
1376,1.2
1377,0.3
1378,0.3
1379,0.3
1380,1.2
1381,0.6
1382,0.6
1383,0.3
1384,0.3
1385,0.9
1386,0.3
1387,0.3
1388,0.9
1389,0
1390,0.9
1391,0.6
1392,0.3
1393,0.6
1394,0.9
1395,1.2
1396,0.6
1397,0
1398,0.9
1399,0.3
1400,0.3
1401,0.3
1402,0.3
1403,0.9
1404,1.2
1405,0
1406,0.3
1407,0
1408,0
1409,0.9
1410,0.9
1411,0.3
1412,0.9
1413,0.6
1414,0.3
1415,0.9
1416,0.3
1417,0.9
1418,0.3
1419,0.9
1420,0.3
1421,1.2
1422,0.9
1423,0.6
1424,0.9
1425,0.3
1426,0.3
1427,0.3
1428,0.3
1429,0
1430,0.9
1431,0.3
1432,0.3
1433,0.9
1434,0.9
1435,0
1436,0.9
1437,0.6
1438,0.9
1439,0
1440,0
1441,0.9
1442,0.9
1443,0.6
1444,0.3
1445,0.9
1446,0.3
1447,0.9
1448,0.3
1449,0
1450,0.3
1451,0.9
1452,0.9
1453,0
1454,0.6
1455,0.6
1456,0.9
1457,0.6
1458,1.2
1459,0.3
1460,0
1461,0.3
1462,0.3
1463,0.3
1464,0.3
1465,0.3
1466,0.3
1467,0.9
1468,0.3
1469,0.9
1470,0.9
1471,0.9
1472,0.3
1473,1.2
1474,0
1475,0.6
1476,0.9
1477,0.3
1478,0.9
1479,0.3
1480,0.6
1481,0.9
1482,0.6
1483,0.6
1484,0.6
1485,0.6
1486,1.2
1487,0.6
1488,0.9
1489,0.6
1490,0
1491,1.2
1492,0.6
1493,0.6
1494,0
1495,0.6
1496,0.9
1497,0.6
1498,0.6
1499,0.6
1500,0.9
1501,0.3
1502,0.6
1503,0.3
1504,0.6
1505,0.9
